product_id,product_name,category,subcategory,cost_price
1,Product 1,Clothing,Subcategory 2,1312.89
2,Product 2,Home,Subcategory 3,1661.93
3,Product 3,Electronics,Subcategory 4,166.29
4,Product 4,Home,Subcategory 5,1210.34
5,Product 5,Home,Subcategory 6,906.35
6,Laptop,Books,Subcategory 7,1392.92
7,Product 7,Books,Subcategory 8,1888.22
8,Product 8,Books,Subcategory 9,903.63
9,Product 9,Electronics,Subcategory 10,1784.37
10,Product 10,Home,Subcategory 1,1227.24
11,Smart Phone,Electronics,Subcategory 2,228.09
12,Product 12,Electronics,Subcategory 3,1999.17
13,Product 13,Home,Subcategory 4,1173.68
14,Product 14,Clothing,Subcategory 5,967.48
15,Product 15,Books,Subcategory 6,1836.34
16,Product 16,Clothing,Subcategory 7,1994.04
17,Product 17,Books,Subcategory 8,1287.83
18,Product 18,Books,Subcategory 9,1939.66
19,Product 19,Books,Subcategory 10,728.52
20,Product 20,Home,Subcategory 1,676.06
21,Headphones,Electronics,Subcategory 2,1722.58
22,Product 22,Home,Subcategory 3,852.71
23,Product 23,Books,Subcategory 4,612.02
24,Product 24,Books,Subcategory 5,1636.45
25,Product 25,Electronics,Subcategory 6,936.91
26,Product 26,Home,Subcategory 7,542.18
27,Product 27,Electronics,Subcategory 8,1941.86
28,Product 28,Books,Subcategory 9,1736.58
29,Product 29,Electronics,Subcategory 10,1332.44
30,Product 30,Books,Subcategory 1,855.83
31,Product 31,Clothing,Subcategory 2,1060.96
32,Product 32,Books,Subcategory 3,1269.55
33,Product 33,Electronics,Subcategory 4,446.94
34,Product 34,Clothing,Subcategory 5,1858.96
35,Product 35,Books,Subcategory 6,1767.65
36,Product 36,Books,Subcategory 7,286.78
37,Product 37,Clothing,Subcategory 8,1434.08
38,Product 38,Home,Subcategory 9,1124.14
39,Product 39,Books,Subcategory 10,231.76
40,Product 40,Electronics,Subcategory 1,949.82
41,Product 41,Electronics,Subcategory 2,1313.03
42,Product 42,Clothing,Subcategory 3,1021.83
43,Product 43,Home,Subcategory 4,1042.3
44,Product 44,Home,Subcategory 5,860.21
45,Product 45,Books,Subcategory 6,1961.48
46,Product 46,Clothing,Subcategory 7,940.73
47,Product 47,Clothing,Subcategory 8,797.99
48,Product 48,Clothing,Subcategory 9,1734.85
49,Product 49,Home,Subcategory 10,1556.72
50,Product 50,Books,Subcategory 1,712.76
51,Product 51,Home,Subcategory 2,1650.07
52,Product 52,Home,Subcategory 3,1465.8
53,Product 53,Books,Subcategory 4,1737.26
54,Product 54,Books,Subcategory 5,1100.23
55,Product 55,Home,Subcategory 6,698.26
56,Product 56,Books,Subcategory 7,937.92
57,Product 57,Home,Subcategory 8,1745.72
58,Product 58,Clothing,Subcategory 9,1165.01
59,Product 59,Clothing,Subcategory 10,1719.23
60,Product 60,Books,Subcategory 1,135.11
61,Product 61,Books,Subcategory 2,1425.19
62,Product 62,Books,Subcategory 3,802.85
63,Product 63,Clothing,Subcategory 4,1015.89
64,Product 64,Electronics,Subcategory 5,296.18
65,Product 65,Home,Subcategory 6,1745.92
66,Product 66,Books,Subcategory 7,244.44
67,Product 67,Books,Subcategory 8,79.93
68,Product 68,Clothing,Subcategory 9,849.46
69,Product 69,Clothing,Subcategory 10,195.92
70,Product 70,Home,Subcategory 1,710.19
71,Product 71,Books,Subcategory 2,1317.18
72,Product 72,Home,Subcategory 3,1712.07
73,Product 73,Books,Subcategory 4,1910.57
74,Product 74,Books,Subcategory 5,1751.15
75,Product 75,Electronics,Subcategory 6,1254.05
76,Product 76,Clothing,Subcategory 7,1280.76
77,Product 77,Home,Subcategory 8,1994.98
78,Product 78,Electronics,Subcategory 9,896.24
79,Product 79,Electronics,Subcategory 10,1532.72
80,Product 80,Electronics,Subcategory 1,915.17
81,Product 81,Home,Subcategory 2,1811.68
82,Product 82,Electronics,Subcategory 3,682.53
83,Product 83,Electronics,Subcategory 4,622.07
84,Product 84,Home,Subcategory 5,889.84
85,Product 85,Clothing,Subcategory 6,1085.77
86,Product 86,Clothing,Subcategory 7,381.47
87,Product 87,Electronics,Subcategory 8,1238.51
88,Product 88,Books,Subcategory 9,1258.44
89,Product 89,Clothing,Subcategory 10,1020.45
90,Product 90,Clothing,Subcategory 1,502.77
91,Product 91,Home,Subcategory 2,946.16
92,Product 92,Electronics,Subcategory 3,1802.87
93,Product 93,Books,Subcategory 4,1807.36
94,Product 94,Clothing,Subcategory 5,194.03
95,Product 95,Home,Subcategory 6,1975.92
96,Product 96,Home,Subcategory 7,1295.93
97,Product 97,Books,Subcategory 8,1396.11
98,Product 98,Books,Subcategory 9,1698.34
99,Product 99,Clothing,Subcategory 10,1998.78
100,Product 100,Books,Subcategory 1,257.97
101,Product 101,Books,Subcategory 2,1165.25
102,Product 102,Home,Subcategory 3,1985.75
103,Product 103,Home,Subcategory 4,92.78
104,Product 104,Books,Subcategory 5,585.24
105,Product 105,Electronics,Subcategory 6,1825.7
106,Product 106,Books,Subcategory 7,1674.04
107,Product 107,Home,Subcategory 8,1562.69
108,Product 108,Clothing,Subcategory 9,1233.78
109,Product 109,Home,Subcategory 10,477.06
110,Product 110,Clothing,Subcategory 1,1260.74
111,Product 111,Clothing,Subcategory 2,1275.08
112,Product 112,Electronics,Subcategory 3,652.42
113,Product 113,Books,Subcategory 4,115.06
114,Product 114,Home,Subcategory 5,1478.1
115,Product 115,Electronics,Subcategory 6,1823.77
116,Product 116,Home,Subcategory 7,1507.59
117,Product 117,Clothing,Subcategory 8,441.55
118,Product 118,Home,Subcategory 9,1085.16
119,Product 119,Home,Subcategory 10,1669.42
120,Product 120,Home,Subcategory 1,1832.4
121,Product 121,Books,Subcategory 2,1936.4
122,Product 122,Home,Subcategory 3,1505.79
123,Product 123,Home,Subcategory 4,1618.25
124,Product 124,Books,Subcategory 5,1927.64
125,Product 125,Clothing,Subcategory 6,1520.6
126,Product 126,Clothing,Subcategory 7,1727.27
127,Product 127,Books,Subcategory 8,1936.18
128,Product 128,Home,Subcategory 9,226.09
129,Product 129,Books,Subcategory 10,77.14
130,Product 130,Electronics,Subcategory 1,936.83
131,Product 131,Home,Subcategory 2,1189.89
132,Product 132,Home,Subcategory 3,261.27
133,Product 133,Clothing,Subcategory 4,969.38
134,Product 134,Home,Subcategory 5,1834.75
135,Product 135,Clothing,Subcategory 6,1312.92
136,Product 136,Books,Subcategory 7,1823.31
137,Product 137,Home,Subcategory 8,1316.02
138,Product 138,Electronics,Subcategory 9,322.57
139,Product 139,Electronics,Subcategory 10,643.51
140,Product 140,Books,Subcategory 1,276.43
141,Product 141,Clothing,Subcategory 2,1780.16
142,Product 142,Clothing,Subcategory 3,807.86
143,Product 143,Home,Subcategory 4,1357.45
144,Product 144,Books,Subcategory 5,1195.31
145,Product 145,Clothing,Subcategory 6,1776.56
146,Product 146,Electronics,Subcategory 7,1675.7
147,Product 147,Books,Subcategory 8,1881.15
148,Product 148,Home,Subcategory 9,113.8
149,Product 149,Home,Subcategory 10,473.68
150,Product 150,Books,Subcategory 1,1903.58
151,Product 151,Home,Subcategory 2,243.74
152,Product 152,Home,Subcategory 3,1111.71
153,Product 153,Home,Subcategory 4,168.07
154,Product 154,Home,Subcategory 5,420.13
155,Product 155,Electronics,Subcategory 6,1900.57
156,Product 156,Books,Subcategory 7,228.76
157,Product 157,Clothing,Subcategory 8,1301.32
158,Product 158,Electronics,Subcategory 9,148.63
159,Product 159,Home,Subcategory 10,524.96
160,Product 160,Clothing,Subcategory 1,1584.61
161,Product 161,Clothing,Subcategory 2,183.79
162,Product 162,Clothing,Subcategory 3,1193.45
163,Product 163,Clothing,Subcategory 4,690.69
164,Product 164,Clothing,Subcategory 5,1587.86
165,Product 165,Electronics,Subcategory 6,590.69
166,Product 166,Clothing,Subcategory 7,1975.68
167,Product 167,Home,Subcategory 8,1607.1
168,Product 168,Electronics,Subcategory 9,1339.06
169,Product 169,Electronics,Subcategory 10,307.02
170,Product 170,Home,Subcategory 1,1590.47
171,Product 171,Clothing,Subcategory 2,1198.26
172,Product 172,Electronics,Subcategory 3,389.78
173,Product 173,Electronics,Subcategory 4,297.18
174,Product 174,Books,Subcategory 5,1075.87
175,Product 175,Electronics,Subcategory 6,978.68
176,Product 176,Home,Subcategory 7,1050.81
177,Product 177,Electronics,Subcategory 8,931.41
178,Product 178,Clothing,Subcategory 9,1893.56
179,Product 179,Electronics,Subcategory 10,1468.12
180,Product 180,Home,Subcategory 1,943.18
181,Product 181,Electronics,Subcategory 2,168.61
182,Product 182,Books,Subcategory 3,1702.23
183,Product 183,Books,Subcategory 4,1387.89
184,Product 184,Books,Subcategory 5,1439.18
185,Product 185,Books,Subcategory 6,193.31
186,Product 186,Electronics,Subcategory 7,678.12
187,Product 187,Clothing,Subcategory 8,178.08
188,Product 188,Home,Subcategory 9,1267.42
189,Product 189,Home,Subcategory 10,792.76
190,Product 190,Home,Subcategory 1,934.75
191,Product 191,Books,Subcategory 2,243.4
192,Product 192,Electronics,Subcategory 3,1712.95
193,Product 193,Clothing,Subcategory 4,888.64
194,Product 194,Clothing,Subcategory 5,856.94
195,Product 195,Books,Subcategory 6,827.52
196,Product 196,Electronics,Subcategory 7,659.47
197,Product 197,Home,Subcategory 8,1346.96
198,Product 198,Home,Subcategory 9,1909.51
199,Product 199,Books,Subcategory 10,180.91
200,Product 200,Electronics,Subcategory 1,231.8
201,Product 201,Electronics,Subcategory 2,1501.95
202,Product 202,Home,Subcategory 3,1632.95
203,Product 203,Electronics,Subcategory 4,1193.61
204,Product 204,Home,Subcategory 5,1356.53
205,Product 205,Books,Subcategory 6,739.52
206,Product 206,Books,Subcategory 7,1742.78
207,Product 207,Electronics,Subcategory 8,1938.38
208,Product 208,Home,Subcategory 9,735.71
209,Product 209,Clothing,Subcategory 10,351.72
210,Product 210,Books,Subcategory 1,487.28
211,Product 211,Electronics,Subcategory 2,732.72
212,Product 212,Home,Subcategory 3,274.03
