order_item_id,order_id,product_id,quantity
1,52,37,1
2,185,21,4
3,131,25,2
4,122,8,1
5,172,25,3
6,32,1,4
7,138,10,4
8,72,35,3
9,21,30,3
10,254,47,1
11,286,4,2
12,79,9,2
13,164,42,1
14,85,38,2
15,95,48,3
16,190,41,4
17,260,21,5
18,49,21,3
19,198,32,5
20,213,5,5
22,250,10,3
23,52,31,5
24,265,17,4
25,255,32,2
26,142,48,5
27,271,3,5
28,29,25,3
29,42,16,4
30,214,47,3
31,198,18,1
32,266,47,3
33,154,47,2
34,59,10,4
35,178,12,2
36,245,8,2
37,149,18,5
38,80,16,3
39,212,14,5
40,140,8,2
41,198,22,2
42,80,19,2
43,240,34,2
44,137,19,2
45,224,23,3
46,292,4,4
47,218,45,4
48,47,10,4
49,65,7,4
50,29,37,1
51,34,22,3
52,258,14,1
53,98,26,1
54,299,2,4
55,264,39,2
56,54,19,3
57,220,9,4
58,94,11,3
59,39,42,3
60,191,10,2
61,195,50,5
62,250,32,2
63,124,50,1
64,82,21,1
65,29,42,3
66,152,49,3
67,43,44,5
68,131,5,2
69,230,2,4
70,35,41,1
71,50,46,5
72,177,38,1
73,203,23,1
74,136,12,2
75,101,17,4
76,93,2,4
77,150,18,2
78,195,41,5
79,225,4,5
80,290,20,1
81,40,38,2
82,289,38,3
83,106,43,5
84,254,24,4
85,15,44,5
86,239,29,2
87,26,31,5
88,62,37,1
89,156,37,5
90,50,44,1
91,256,38,1
92,175,7,5
93,232,28,1
94,262,28,4
95,167,3,4
96,127,35,3
97,281,4,4
98,65,10,2
99,98,50,1
100,223,22,5
101,79,35,3
102,287,15,5
103,282,19,4
104,56,14,4
105,139,35,3
106,267,28,3
107,230,17,2
108,49,17,3
109,142,27,4
110,228,34,3
111,99,9,4
112,48,42,5
113,30,3,1
114,156,21,5
115,45,31,4
116,107,49,2
117,266,49,5
118,278,33,5
119,232,10,1
120,254,50,2
121,295,12,1
122,62,2,3
123,14,35,2
124,21,27,2
125,9,16,2
126,175,40,3
127,285,47,4
128,109,8,4
129,149,32,4
130,220,38,1
131,25,49,5
132,196,21,3
133,202,6,1
134,1,34,1
135,103,35,5
136,12,32,1
137,193,15,1
138,227,28,2
139,267,7,4
140,45,16,1
141,3,34,1
142,169,50,4
143,138,36,4
144,101,46,1
145,55,38,5
146,288,38,3
147,142,16,3
148,163,38,4
149,21,14,4
150,108,40,2
151,296,11,4
152,13,30,5
153,139,30,3
154,157,39,3
155,125,10,3
156,11,35,5
157,176,7,4
158,296,43,1
159,274,36,2
160,257,33,1
161,169,29,4
162,165,8,5
163,263,25,3
164,286,36,5
165,249,38,5
166,250,14,1
167,94,47,1
168,132,40,5
169,228,7,2
170,56,45,5
171,93,27,2
172,93,43,5
173,98,23,2
174,33,1,4
175,218,27,4
176,183,6,3
177,261,1,4
178,195,28,3
179,234,5,1
180,12,39,1
181,74,50,5
182,35,42,5
183,277,17,5
184,54,35,2
185,165,35,2
186,88,18,5
187,121,16,5
188,186,4,4
189,225,37,2
190,103,34,2
191,168,44,3
192,297,8,4
193,48,45,4
194,207,31,3
195,96,43,4
196,105,40,2
197,4,34,2
198,62,2,3
199,4,29,2
200,54,25,4
201,194,33,2
202,285,39,2
203,186,32,3
204,162,11,4
205,69,16,5
206,190,41,2
207,115,29,4
208,288,48,3
209,47,20,3
210,42,3,4
211,280,49,1
212,28,23,3
213,281,29,5
214,105,2,3
215,66,11,3
216,58,26,3
217,87,2,1
218,256,46,5
219,163,32,5
220,57,26,2
221,183,47,3
222,87,46,1
223,61,38,2
224,156,25,4
225,103,45,2
226,48,48,3
227,82,48,4
228,166,29,4
229,241,43,5
230,46,20,2
231,41,36,3
232,227,27,3
233,80,13,3
234,233,7,2
235,167,37,4
236,12,13,3
237,4,33,2
238,113,46,4
239,28,30,4
240,256,11,4
241,230,4,2
242,155,20,3
243,130,49,5
244,183,48,3
245,28,31,2
246,222,49,2
247,154,21,3
248,222,39,4
249,134,45,3
250,300,44,1
251,243,18,3
252,209,42,3
253,206,5,3
254,60,26,4
255,91,33,5
256,279,15,4
257,77,48,2
258,59,31,4
259,82,30,1
260,162,27,1
261,197,46,1
262,194,7,1
263,68,33,4
264,71,20,1
265,215,20,5
266,213,28,2
267,252,28,1
268,57,2,4
269,47,2,5
270,180,10,3
271,182,19,1
272,144,11,2
273,7,46,4
274,127,43,3
275,229,6,5
276,23,24,1
277,181,41,5
278,170,45,4
279,291,42,1
280,267,47,1
281,260,15,1
282,88,12,4
283,289,34,2
284,11,18,1
285,297,35,3
286,10,46,2
287,91,15,3
288,62,47,4
289,159,48,3
290,147,42,5
291,138,3,5
292,221,38,4
293,191,15,2
294,28,21,1
295,117,31,4
296,43,26,1
297,80,5,2
298,125,2,5
299,27,27,3
300,273,24,5
