order_id,customer_id,order_date,status
1,76,2025-03-15,Pending
2,85,2024-10-27,Completed
3,5,2026-04-17,Pending
4,34,2026-05-18,Cancelled
5,99,2024-10-11,Completed
6,36,2025-04-04,Completed
7,28,2026-02-01,Cancelled
8,79,2026-07-21,Cancelled
9,15,2025-12-05,Completed
10,70,2026-08-02,Completed
11,9999,2025-02-26,Completed
12,83,2024-10-18,Pending
13,50,2026-04-05,Completed
14,70,2025-04-01,Completed
15,54,2026-05-15,Cancelled
16,91,,Completed
17,11,2025-01-09,Pending
18,100,2025-08-26,Completed
19,8,2024-08-26,Completed
20,72,2024-09-10,Completed
21,26,2024-12-20,Completed
22,91,2025-07-18,Cancelled
23,95,2025-03-04,Pending
24,94,2025-10-25,Cancelled
25,18,2025-02-22,Pending
26,13,2026-06-08,Pending
27,31,2026-05-26,Cancelled
28,26,2025-11-04,Pending
29,79,2026-02-25,Cancelled
30,15,2024-12-14,Pending
31,62,2025-01-14,Cancelled
32,83,2025-12-20,Pending
33,96,2025-09-08,Cancelled
34,86,2025-08-02,Pending
35,86,2025-04-17,Completed
36,78,2026-01-23,Completed
37,4,2025-09-04,Cancelled
38,43,2024-12-29,Cancelled
39,81,2025-09-07,Completed
40,54,2024-10-17,Pending
41,63,2024-11-20,Cancelled
42,48,2025-07-11,Pending
43,44,2025-11-11,Completed
44,67,2026-07-02,Cancelled
45,60,2024-09-28,Completed
46,45,2025-04-07,Completed
47,41,2026-06-19,Cancelled
48,79,2024-11-19,Completed
49,23,2025-04-02,Completed
50,64,2026-04-01,Pending
51,32,2024-11-23,Completed
52,41,2025-07-25,Cancelled
53,86,2024-11-19,Pending
54,92,2025-10-22,Cancelled
55,10,2024-08-22,Cancelled
56,11,2024-09-27,Cancelled
57,43,2026-05-06,Cancelled
58,16,2025-08-23,Pending
59,28,2025-07-04,Pending
60,2,2024-08-16,Completed
61,21,2025-05-03,Pending
62,10,2025-08-28,Completed
63,45,2024-12-20,Cancelled
64,83,2025-05-19,Cancelled
65,33,2025-08-20,Cancelled
66,100,2026-02-06,Completed
67,54,2026-07-13,Pending
68,56,2026-05-02,Cancelled
69,91,2024-12-30,Cancelled
70,68,2025-01-25,Pending
71,23,2025-03-03,Cancelled
72,35,2025-06-09,Completed
73,52,2026-01-14,Completed
74,6,2025-01-07,Pending
75,75,2025-03-22,Completed
76,85,2025-12-20,Pending
77,30,2025-11-14,Cancelled
78,68,2025-02-04,Cancelled
79,54,2025-06-11,Cancelled
80,50,2025-03-07,Completed
81,80,2025-07-22,Cancelled
82,90,2025-12-31,Completed
83,98,2025-07-19,Completed
84,19,2026-06-21,Completed
85,5,2024-09-09,Pending
86,57,2025-06-11,Cancelled
87,20,2025-11-06,Pending
88,30,2025-03-14,Pending
89,99,2025-12-14,Completed
90,100,2024-12-10,Completed
91,7,2025-09-22,Cancelled
92,64,2026-05-07,Pending
93,21,2026-02-26,Cancelled
94,6,2025-02-23,Pending
95,81,2025-01-25,Pending
96,72,2024-09-08,Completed
97,35,2025-04-16,Cancelled
98,100,2025-02-03,Pending
99,17,2026-06-07,Completed
100,73,2026-07-25,Pending
101,51,2025-05-04,Pending
102,8,2025-09-17,Completed
103,36,2025-06-15,Completed
104,75,2024-11-30,Pending
105,82,2026-03-25,Completed
106,28,2025-01-31,Cancelled
107,7,2025-12-31,Completed
108,79,2025-09-01,Completed
109,39,2025-03-22,Pending
110,45,2025-02-11,Cancelled
111,54,2024-09-22,Pending
112,30,2025-10-24,Pending
113,90,2026-01-28,Cancelled
114,50,2026-04-13,Completed
115,88,2024-09-06,Pending
116,41,2026-08-01,Pending
117,22,2026-01-25,Cancelled
118,20,2026-04-18,Completed
119,12,2025-12-09,Completed
120,76,2024-12-25,Completed
121,60,2025-11-15,Cancelled
122,33,2025-10-02,Completed
123,51,2025-01-12,Pending
124,32,2024-10-24,Pending
125,7,2025-06-22,Completed
126,30,2024-08-27,Cancelled
127,60,2025-09-15,Completed
128,52,2024-11-09,Completed
129,77,2026-07-26,Pending
130,43,2024-10-29,Pending
131,86,2026-03-23,Completed
132,25,2025-09-11,Pending
133,70,2026-06-28,Pending
134,27,2026-03-12,Completed
135,71,2025-01-13,Completed
136,53,2026-04-23,Pending
137,72,2026-04-19,Cancelled
138,25,2024-08-15,Completed
139,80,2024-09-16,Cancelled
140,28,2025-03-25,Pending
141,41,2024-09-19,Cancelled
142,62,2024-11-01,Completed
143,76,2024-10-19,Pending
144,57,2025-10-25,Cancelled
145,6,2024-12-03,Completed
146,67,2026-03-10,Cancelled
147,50,2024-12-09,Cancelled
148,69,2025-07-17,Pending
149,34,2025-04-19,Completed
150,50,2024-09-30,Pending
151,35,2024-09-25,Cancelled
152,28,2025-02-04,Cancelled
153,100,2024-11-01,Pending
154,59,2025-11-13,Cancelled
155,49,2024-08-11,Pending
156,62,2026-05-05,Completed
157,60,2026-04-28,Completed
158,6,2026-08-03,Pending
159,50,2025-10-14,Pending
160,27,2025-04-14,Cancelled
161,4,2025-02-24,Completed
162,63,2024-11-26,Pending
163,89,2024-10-16,Pending
164,20,2025-01-23,Pending
165,25,2026-04-05,Completed
166,48,2025-06-19,Cancelled
167,24,2026-02-26,Pending
168,90,2024-10-05,Cancelled
169,100,2024-08-30,Cancelled
170,89,2025-05-27,Cancelled
171,23,2024-12-30,Pending
172,43,2025-11-23,Pending
173,67,2025-05-26,Cancelled
174,29,2025-07-05,Cancelled
175,10,2026-02-25,Cancelled
176,9,2025-07-27,Cancelled
177,79,2025-05-13,Completed
178,57,2026-07-03,Pending
179,77,2024-12-19,Completed
180,9,2026-04-22,Cancelled
181,33,2025-03-18,Cancelled
182,50,2026-04-27,Pending
183,68,2024-08-30,Pending
184,64,2025-11-09,Cancelled
185,21,2024-11-01,Completed
186,69,2026-03-26,Pending
187,19,2025-04-11,Completed
188,34,2025-09-06,Completed
189,74,2024-10-18,Pending
190,20,2025-02-06,Cancelled
191,14,2026-05-08,Completed
192,14,2024-11-15,Pending
193,80,2025-10-08,Pending
194,60,2026-04-05,Pending
195,22,2025-08-08,Completed
196,98,2025-05-05,Completed
197,54,2026-05-02,Pending
198,30,2026-07-15,Pending
199,80,2024-08-14,Pending
200,33,2026-04-29,Pending
201,98,2025-03-27,Completed
202,30,2026-06-08,Cancelled
203,40,2025-06-16,Cancelled
204,45,2026-03-01,Pending
205,56,2026-06-10,Pending
206,71,2026-05-06,Pending
207,69,2024-09-28,Pending
208,69,2025-10-07,Pending
209,92,2025-03-22,Cancelled
210,99,2025-05-28,Cancelled
211,50,2026-05-09,Completed
212,36,2024-09-27,Completed
213,65,2025-05-28,Pending
214,78,2025-12-23,Completed
215,32,2026-03-22,Completed
216,49,2024-09-27,Pending
217,36,2025-03-25,Cancelled
218,91,2025-01-02,Pending
219,76,2024-10-13,Completed
220,4,2025-12-08,Cancelled
221,8,2025-06-18,Cancelled
222,25,2026-02-14,Cancelled
223,23,2025-03-06,Completed
224,53,2024-08-06,Completed
225,38,2026-07-27,Pending
226,80,2026-04-22,Pending
227,5,2025-05-08,Completed
228,57,2025-07-27,Pending
229,46,2024-12-11,Completed
230,6,2026-02-06,Cancelled
231,52,2026-07-03,Completed
232,28,2025-10-27,Cancelled
233,91,2026-05-15,Pending
234,84,2024-08-15,Pending
235,43,2026-08-02,Pending
236,64,2026-06-02,Completed
237,48,2024-09-22,Completed
238,80,2025-06-24,Cancelled
239,84,2024-12-13,Completed
240,27,2026-03-01,Completed
241,40,2026-05-26,Pending
242,10,2025-05-26,Completed
243,4,2025-01-06,Completed
244,10,2026-06-08,Pending
245,41,2025-03-07,Cancelled
246,10,2025-08-14,Pending
247,13,2026-03-07,Cancelled
248,61,2026-08-05,Cancelled
249,91,2026-02-02,Completed
250,5,2026-05-19,Completed
251,47,2025-02-19,Completed
252,54,2025-01-08,Pending
253,32,2026-03-13,Pending
254,49,2025-03-31,Cancelled
255,12,2024-12-15,Completed
256,92,2025-04-17,Completed
257,15,2025-02-12,Cancelled
258,85,2026-07-06,Cancelled
259,52,2025-06-18,Completed
260,10,2025-11-21,Pending
261,48,2025-04-13,Cancelled
262,2,2024-08-18,Completed
263,72,2026-07-31,Completed
264,70,2025-11-13,Completed
265,65,2025-03-04,Completed
266,58,2026-07-09,Completed
267,1,2026-07-29,Completed
268,70,2026-04-22,Completed
269,62,2025-09-26,Completed
270,11,2024-10-14,Completed
271,45,2026-03-31,Completed
272,37,2024-08-16,Cancelled
273,100,2025-01-04,Pending
274,71,2025-01-22,Completed
275,94,2024-08-07,Completed
276,65,2026-06-19,Cancelled
277,24,2025-12-22,Pending
278,68,2025-10-12,Pending
279,29,2025-01-18,Completed
280,87,2024-12-04,Pending
281,46,2025-08-18,Pending
282,3,2026-04-21,Cancelled
283,31,2024-10-19,Cancelled
284,62,2025-02-20,Completed
285,100,2025-11-06,Pending
286,76,2025-02-01,Completed
287,3,2026-05-03,Cancelled
288,52,2024-09-19,Cancelled
289,34,2025-07-09,Pending
290,92,2025-07-06,Cancelled
291,35,2026-05-21,Pending
292,92,2025-05-11,Cancelled
293,47,2025-08-22,Completed
294,80,2024-09-03,Pending
295,96,2026-03-23,Pending
296,44,2025-01-17,Cancelled
297,62,2025-05-25,Pending
298,20,2025-09-10,Pending
299,34,2025-03-01,Cancelled
300,83,2025-05-27,Completed
