product_id,product_name,category,price
1,Different,Electronics,4475.08
2,Green,Groceries,2966.27
3,Exist,Furniture,2483.79
4,Away,,2669.59
5,Bad,Electronics,3334.37
6,View,Groceries,3126.4
7,Kid,Furniture,3515.26
8,Bit,Electronics,3365.26
9,Often,Groceries,3128.95
10,Official,Furniture,1966.66
11,Attention,Clothing,213.07
12,West,Furniture,1340.01
13,Industry,Furniture,541.81
14,Even,Electronics,4546.36
15,Card,Clothing,2482.68
16,Easy,Electronics,2459.87
17,No,Furniture,2972.28
18,Past,Groceries,3562.01
19,Traditional,Electronics,573.76
20,Wrong,Furniture,3572.67
21,Teacher,Clothing,2067.51
22,Name,Clothing,699.42
23,Sure,Furniture,2967.41
24,Let,Clothing,781.62
25,Through,Clothing,3190.22
26,Perhaps,Clothing,1124.7
27,Effort,Clothing,2153.95
28,Anything,Clothing,2231.3
29,First,Furniture,3059.8
30,Else,Clothing,801.12
31,Deal,Electronics,4019.65
32,Stuff,Electronics,390.63
33,Fight,Groceries,1964.57
34,Relationship,Furniture,410.86
35,Yard,Furniture,1980.84
36,Reason,Groceries,3136.66
37,Pull,Clothing,4762.85
38,Support,Clothing,4588.81
39,Art,Electronics,1927.27
40,Want,Groceries,1731.65
41,Into,Furniture,828.2
42,Near,Groceries,2130.99
43,Author,Furniture,2186.55
44,Assume,Clothing,3202.5
45,Evening,Groceries,4134.96
46,Modern,Groceries,665.9
47,Big,Clothing,3839.19
48,West,Electronics,2536.25
49,Image,Clothing,4330.09
50,Seem,Furniture,1959.53
3,Exist,Furniture,2483.79
